TotalCharges,Contract_Month-to-month,InternetService_Fiber optic,PaymentMethod_Electronic check,TechSupport_No,OnlineSecurity_No,SeniorCitizen,PaperlessBilling_Yes,StreamingTV_Yes,StreamingMovies_Yes,tenure,Contract_Two year,InternetService_DSL,MultipleLines_No,PaperlessBilling_No,PaymentMethod_Credit card (automatic),TechSupport_Yes,OnlineSecurity_Yes,PhoneService_Yes,Dependents_Yes,Churn
4861.45,0,0,0,0,0,0,1,1,0,63,1,1,0,0,1,1,1,1,0,0
981.45,1,0,1,0,0,0,1,1,0,13,0,1,0,0,0,1,1,1,0,0
3906.7,1,1,1,1,1,0,1,0,1,49,0,0,0,0,0,0,0,1,0,0
97.0,1,0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0
144.15,1,1,1,1,1,0,1,1,0,2,0,0,1,0,0,0,0,1,0,1
4217.8,0,0,0,0,0,0,1,1,1,52,1,1,0,0,1,1,1,1,0,0
4254.1,0,0,0,0,0,0,1,0,0,69,1,1,0,0,1,1,1,1,1,0
3838.75,1,1,1,1,1,1,1,1,0,43,0,0,0,0,0,0,0,1,0,0
1426.4,1,1,0,1,0,0,1,1,1,15,0,0,1,0,1,0,1,1,0,1
1752.65,1,0,0,0,0,1,1,1,0,25,0,1,0,0,1,1,1,1,0,0
633.3,1,1,0,1,1,1,1,0,0,8,0,0,0,0,1,0,0,1,0,1
4456.35,0,0,0,0,0,1,1,0,1,60,0,1,1,0,1,1,1,1,1,0
1752.55,1,1,1,1,1,1,1,1,1,18,0,0,0,0,0,0,0,1,0,1
6311.2,0,1,0,1,0,0,1,1,1,63,0,0,0,0,1,0,1,1,1,0
7076.35,0,1,1,0,1,1,1,1,1,66,0,0,0,0,0,1,0,1,1,0
894.3,0,0,0,0,0,0,0,0,0,34,1,0,0,1,1,0,0,1,1,0
7853.7,0,1,0,0,1,0,1,1,1,72,1,0,0,0,1,1,0,1,0,0
4707.1,1,1,1,1,1,0,1,1,1,47,0,0,0,0,0,0,0,1,0,0
5450.7,1,1,0,1,1,0,1,1,0,60,0,0,0,0,0,0,0,1,0,0
2962.0,0,0,0,1,0,0,0,0,0,72,1,1,0,1,0,0,1,0,0,0
957.1,0,0,0,0,1,0,1,0,0,18,0,1,1,0,1,1,0,1,1,0
857.25,1,1,1,1,1,0,0,1,1,9,0,0,0,1,0,0,0,1,0,1
244.1,1,0,1,0,1,0,1,1,1,3,0,1,1,0,0,1,0,1,0,0
3650.35,0,1,1,1,1,0,1,0,0,47,0,0,0,0,0,0,0,1,0,0
2497.2,0,0,0,0,1,0,0,1,1,31,1,1,1,1,0,1,0,1,0,0
930.9,0,0,0,0,0,0,0,0,0,50,1,0,1,1,0,0,0,1,1,0
887.35,1,1,0,1,0,0,1,0,0,10,0,0,1,0,0,0,1,1,0,0
49.05,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0
1090.65,0,0,1,0,0,0,1,0,0,52,0,0,1,0,0,0,0,1,1,0
7099.0,0,1,0,0,0,1,1,1,1,64,1,0,0,0,0,1,1,1,1,0
1424.6,0,0,0,0,0,0,1,0,0,62,1,0,0,0,0,0,0,1,1,0
177.4,1,0,0,0,0,0,1,0,1,3,0,1,1,0,0,1,1,1,1,0
6139.5,0,1,1,1,0,1,0,1,1,56,0,0,0,1,0,0,1,1,0,0
2688.85,0,0,0,1,1,0,0,0,1,46,0,1,1,1,1,0,0,1,0,0
482.25,1,0,0,1,0,0,0,0,0,8,0,1,1,1,0,0,1,1,1,0
2111.3,1,0,1,1,0,1,1,1,1,30,0,1,1,0,0,0,1,1,0,0
1216.6,0,0,0,0,0,0,1,0,0,45,0,0,0,0,1,0,0,1,1,0
79.35,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1
565.35,1,0,1,1,0,0,0,1,1,11,0,1,0,1,0,0,1,0,1,0
496.9,1,1,0,1,1,0,1,0,0,7,0,0,1,0,0,0,0,1,0,1
4327.5,1,1,0,0,1,0,1,1,1,42,0,0,1,0,0,1,0,1,0,0
973.35,0,0,0,0,0,0,1,0,0,49,1,0,1,0,0,0,0,1,0,0
918.75,1,1,0,1,1,0,1,1,1,9,0,0,0,0,1,0,0,1,0,0
2215.45,0,0,0,1,0,0,1,1,0,35,0,1,1,0,0,0,1,1,0,0
1057.0,0,0,0,0,0,0,0,0,0,48,1,0,1,1,0,0,0,1,1,0
927.1,0,0,0,0,0,0,1,0,0,46,1,0,1,0,0,0,0,1,1,0
1009.25,1,0,0,1,1,0,0,1,0,29,0,1,0,1,0,0,0,0,0,0
2570.2,1,1,0,1,1,0,0,0,0,30,0,0,1,1,0,0,0,1,1,0
74.7,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
5714.25,0,0,0,0,0,0,1,1,1,66,1,1,0,0,0,1,1,1,1,0
7107.0,1,1,0,1,0,0,1,1,1,65,0,0,0,0,1,0,1,1,0,0
7459.05,0,1,0,1,1,0,1,1,1,72,1,0,0,0,0,0,0,1,0,0
927.35,1,1,1,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1
4748.7,0,0,0,0,0,0,1,0,0,71,0,1,0,0,1,1,1,1,1,0
113.85,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,1,0,1
1107.2,0,0,0,0,0,0,0,0,0,52,1,0,1,1,0,0,0,1,0,0
2514.5,1,1,1,1,1,1,1,1,1,25,0,0,1,0,0,0,0,1,0,1
20.2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
19.45,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
3605.6,0,1,0,0,1,0,0,1,0,38,0,0,0,1,0,1,0,1,0,0
3027.25,0,0,0,1,1,1,0,1,0,66,0,1,0,1,0,0,0,0,0,0
7611.85,0,1,0,0,1,0,1,1,1,68,1,0,0,0,0,1,0,1,0,1
100.2,1,0,0,1,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0
7303.05,0,1,1,1,0,0,1,1,1,72,0,0,0,0,0,0,1,1,1,0
927.65,0,0,0,1,0,0,0,0,0,32,0,1,0,1,0,0,1,0,0,0
3921.3,0,1,0,1,1,0,0,1,1,43,0,0,0,1,0,0,0,1,0,0
1363.25,0,0,0,0,0,0,0,0,0,72,1,0,1,1,1,0,0,1,1,0
5238.9,1,1,1,1,0,0,1,1,0,55,0,0,0,0,0,0,1,1,0,1
3042.25,0,0,0,0,0,0,0,0,0,52,0,1,1,1,1,1,1,1,0,0
3954.1,1,1,1,1,1,0,1,1,0,43,0,0,1,0,0,0,0,1,0,0
2868.15,1,1,1,1,1,1,1,0,0,37,0,0,0,0,0,0,0,1,0,1
3423.5,0,0,1,0,1,0,1,1,1,64,1,1,0,0,0,1,0,0,1,0
248.4,1,1,1,1,0,0,0,1,0,3,0,0,1,1,0,0,1,1,1,0
1126.35,0,0,0,1,0,0,0,0,0,36,1,1,0,1,0,0,1,0,0,0
1064.65,1,1,1,1,0,0,1,1,1,10,0,0,0,0,0,0,1,1,1,1
835.15,0,0,0,0,0,0,0,0,0,41,1,0,1,1,0,0,0,1,0,0
2151.6,1,1,0,0,1,0,1,0,0,27,0,0,0,0,1,1,0,1,1,0
5515.45,0,1,0,1,1,0,1,1,1,56,0,0,0,0,1,0,0,1,1,0
112.75,1,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,1,0,0
229.55,1,1,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1
350.35,1,0,0,1,0,0,0,0,0,7,0,1,1,1,0,0,1,1,1,0
62.9,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,1,0
3027.65,0,1,1,0,0,0,1,1,0,33,1,0,1,0,0,1,1,1,0,0
2135.5,1,1,1,1,1,1,1,0,0,27,0,0,0,0,0,0,0,1,0,1
1723.95,0,0,0,0,0,0,1,0,0,72,1,0,0,0,0,0,0,1,0,0
19.75,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
3985.35,0,0,1,1,0,1,1,1,1,71,0,1,0,0,0,0,1,0,0,0
1215.65,1,1,1,1,1,0,1,0,1,13,0,0,0,0,0,0,0,1,0,0
1502.65,1,0,0,1,0,0,1,1,1,25,0,1,0,0,1,0,1,0,1,1
3260.1,0,0,0,0,1,0,0,0,0,67,1,1,1,1,0,1,0,1,0,0
35.45,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
81.25,1,0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,1
1188.2,0,0,0,0,0,0,1,0,0,43,1,0,0,0,1,0,0,1,0,0
1778.5,1,1,0,1,0,0,1,0,0,23,0,0,1,0,0,0,1,1,0,0
1277.75,0,0,0,0,0,0,0,0,0,64,1,0,1,1,0,0,0,1,1,0
1170.55,0,0,0,0,0,0,1,0,0,57,1,0,1,0,0,0,0,1,1,0
70.45,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
6425.65,0,0,0,0,0,1,1,1,1,72,1,1,0,0,1,1,1,1,1,0
563.65,1,0,1,0,0,0,0,0,1,8,0,1,0,1,0,1,1,1,0,1
5971.25,0,1,0,1,1,0,1,1,1,61,1,0,0,0,0,0,0,1,0,0
5289.05,0,1,0,1,0,0,1,0,0,64,0,0,0,0,1,0,1,1,0,0
1756.2,0,0,0,0,0,1,0,0,0,71,1,0,0,1,0,0,0,1,0,0
6416.7,0,1,0,0,0,0,1,1,0,65,1,0,0,0,1,1,1,1,1,0
61.35,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0
45.65,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1
1929.95,0,0,0,1,1,0,0,1,0,30,0,1,1,1,1,0,0,1,1,0
1071.4,1,0,0,0,1,0,1,0,1,15,0,1,1,0,0,1,0,1,1,0
564.35,1,0,1,0,1,0,1,1,1,8,0,1,1,0,0,1,0,1,1,0
655.5,1,1,0,1,1,0,0,1,1,7,0,0,0,1,0,0,0,1,0,1
7930.55,0,1,0,1,0,0,1,1,1,70,0,0,0,0,1,0,1,1,1,0
5215.25,0,0,1,0,0,0,0,1,1,62,1,1,1,1,0,1,1,1,1,0
113.5,1,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,1,1,0
1152.8,1,1,0,1,1,0,1,0,1,14,0,0,1,0,0,0,0,1,1,0
1821.95,1,1,0,1,1,0,1,1,0,22,0,0,0,0,0,0,0,1,0,0
419.9,0,0,0,0,0,0,0,0,0,22,0,0,1,1,0,0,0,1,1,0
1024.0,0,0,0,1,0,0,0,1,0,16,1,1,1,1,0,0,1,1,1,0
251.6,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,1,0,0
764.55,1,0,1,1,0,0,1,0,0,13,0,1,1,0,0,0,1,1,1,0
1592.35,1,1,1,1,0,0,0,0,0,20,0,0,0,1,0,0,1,1,0,1
135.2,1,1,1,1,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0
3958.25,0,0,0,0,1,0,1,0,1,53,1,1,0,0,0,1,0,1,0,0
233.9,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,1,1,0
1363.45,0,0,0,0,0,0,0,0,0,69,1,0,1,1,0,0,0,1,0,0
273.0,1,1,0,1,1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1
6254.45,0,0,0,0,0,0,1,1,1,72,1,1,0,0,0,1,1,1,0,0
2651.2,1,0,1,1,1,1,1,0,1,58,0,1,0,0,0,0,0,0,0,1
321.4,1,0,1,0,0,0,0,0,0,16,0,0,1,1,0,0,0,1,1,0
3539.25,0,1,0,0,0,0,1,0,0,43,0,0,1,0,0,1,1,1,0,0
242.8,1,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,0,1,0,1
1181.75,0,0,0,0,1,0,0,1,1,14,1,1,1,1,0,1,0,1,0,0
5000.2,0,1,0,1,1,0,1,1,1,53,0,0,1,0,0,0,0,1,0,1
654.55,0,0,0,0,0,0,0,0,0,32,0,0,1,1,0,0,0,1,0,0
780.2,1,0,1,0,0,0,0,0,0,34,0,0,0,1,0,0,0,1,0,0
1145.7,1,1,0,1,1,1,1,0,0,15,0,0,0,0,0,0,0,1,0,1
503.6,1,1,0,1,0,1,0,0,0,7,0,0,1,1,0,0,1,1,0,1
1559.25,1,1,0,1,1,0,1,1,1,15,0,0,0,0,0,0,0,1,1,0
1252.0,0,0,0,0,0,0,1,0,0,61,0,0,1,0,1,0,0,1,0,0
29.95,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
45.3,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0
662.65,1,1,0,1,1,0,0,0,1,8,0,0,0,1,0,0,0,1,0,1
2453.3,0,0,0,1,0,0,0,1,1,33,0,1,1,1,1,0,1,1,1,0
1111.65,1,1,1,1,1,0,1,0,0,13,0,0,1,0,0,0,0,1,0,1
24.8,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1023.85,1,0,0,1,1,0,1,0,0,20,0,1,1,0,0,0,0,1,0,0
82.15,1,0,1,0,1,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0
244.8,0,0,1,0,0,0,0,0,0,13,0,0,1,1,0,0,0,1,0,0
2379.1,1,0,0,1,1,0,0,0,0,40,0,1,0,1,1,0,0,1,0,0
3173.35,0,0,0,0,0,0,1,0,1,43,0,1,0,0,1,1,1,1,1,0
531.0,1,1,1,1,1,0,1,0,1,6,0,0,1,0,0,0,0,1,0,1
1375.4,0,0,0,0,0,0,0,0,0,69,1,0,1,1,0,0,0,1,1,0
8129.3,0,1,0,1,0,0,0,1,1,72,1,0,0,1,1,0,1,1,1,0
1192.7,0,0,0,0,0,0,0,0,0,59,1,0,1,1,1,0,0,1,1,0
1901.65,1,1,1,0,0,0,1,1,0,20,0,0,1,0,0,1,1,1,0,0
587.4,0,0,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,1,1,0
6519.75,1,1,1,0,1,0,1,1,1,59,0,0,0,0,0,1,0,1,0,0
8041.65,0,1,0,0,1,0,1,1,1,72,1,0,0,0,0,1,0,1,1,0
20.75,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
2681.15,0,1,0,0,0,0,1,1,1,27,0,0,1,0,1,1,1,1,0,0
1112.3,1,1,0,0,1,0,1,0,0,14,0,0,1,0,1,1,0,1,0,0
7405.5,0,1,1,1,0,0,0,1,1,71,1,0,0,1,0,0,1,1,1,0
1033.95,1,1,0,1,1,0,1,1,0,13,0,0,1,0,1,0,0,1,1,0
2958.95,1,1,0,1,1,0,0,0,0,44,0,0,1,1,1,0,0,1,0,0
2684.85,0,1,0,0,1,0,1,0,0,33,0,0,1,0,0,1,0,1,0,0
4179.2,0,0,0,0,0,0,1,0,1,72,1,1,0,0,1,1,1,0,1,0
79.9,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1
1934.45,1,1,1,0,0,0,1,1,1,19,0,0,1,0,0,1,1,1,0,1
6654.1,0,1,0,0,1,0,1,1,1,64,0,0,1,0,1,1,0,1,0,0
84.5,1,0,0,1,1,0,1,0,0,2,0,1,1,0,1,0,0,1,0,1
25.25,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1124.2,0,0,0,0,0,0,0,0,0,61,1,0,1,1,0,0,0,1,1,0
540.05,0,0,1,0,0,0,0,0,0,29,0,0,1,1,0,0,0,1,1,0
1975.85,1,1,1,1,1,1,0,0,1,23,0,0,0,1,0,0,0,1,0,0
3437.45,1,0,0,1,0,0,1,1,1,57,0,1,0,0,0,0,1,0,0,0
3139.8,0,0,0,0,0,0,0,0,0,72,1,1,0,1,1,1,1,0,1,0
3789.2,0,0,0,0,0,0,1,1,0,66,1,1,0,0,0,1,1,0,0,0
5324.5,0,0,0,0,1,0,1,1,1,65,1,1,0,0,0,1,0,1,1,0
624.6,1,1,0,1,1,0,1,1,0,8,0,0,1,0,0,0,0,1,0,0
268.35,1,1,1,1,1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1
1836.9,0,0,0,0,0,0,0,0,0,71,1,0,0,1,0,0,0,1,0,0
20.2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
179.35,1,0,0,0,1,0,0,0,0,4,0,1,1,1,0,1,0,1,0,1
219.35,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,1,0,0
1288.75,0,0,0,1,0,0,1,1,1,24,0,1,0,0,0,0,1,0,0,0
2545.75,0,0,0,0,0,0,1,1,1,31,0,1,1,0,0,1,1,1,1,0
55.2,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1
2723.15,1,1,0,0,1,0,1,0,1,30,0,0,0,0,1,1,0,1,0,0
4107.25,0,0,0,0,0,0,1,1,1,47,1,1,0,0,1,1,1,1,1,0
5760.65,0,1,0,0,0,0,1,1,1,54,1,0,0,0,1,1,1,1,0,0
4747.5,1,1,0,0,0,0,1,0,1,50,0,0,1,0,1,1,1,1,0,0
84.6,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1
1566.9,0,0,0,0,0,0,0,0,0,72,1,0,1,1,1,0,0,1,0,0
702.0,1,0,1,0,0,0,0,0,0,29,0,0,0,1,0,0,0,1,0,0
114.1,1,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1
299.05,0,0,0,0,1,0,1,0,0,10,1,1,0,0,0,1,0,0,0,0
1305.95,1,1,1,1,1,0,1,0,0,18,0,0,0,0,0,0,0,1,0,0
1120.3,1,1,1,1,1,1,1,1,1,11,0,0,1,0,0,0,0,1,0,1
284.35,0,0,0,0,0,0,0,0,0,16,1,0,1,1,0,0,0,1,0,0
6350.5,0,0,0,0,1,0,0,1,1,72,1,1,0,1,0,1,0,1,0,0
7878.3,0,1,0,0,1,0,0,1,1,72,1,0,0,1,0,1,0,1,0,0
3187.65,0,0,0,0,0,0,1,1,1,41,0,1,1,0,1,1,1,1,1,0
6126.15,1,1,1,1,0,1,0,0,1,65,0,0,1,1,0,0,1,1,0,0
731.3,1,0,1,1,1,1,1,0,0,13,0,1,1,0,0,0,0,1,0,0
273.4,1,1,1,1,0,1,0,0,0,4,0,0,1,1,0,0,1,1,0,0
2531.8,0,0,0,1,1,0,0,0,1,41,0,1,0,1,0,0,0,1,0,0
1074.3,1,1,1,1,1,1,1,0,0,15,0,0,1,0,0,0,0,1,0,1
48.55,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1
4298.45,0,1,1,1,0,0,1,0,1,42,0,0,0,0,0,0,1,1,0,0
4619.55,0,1,1,1,0,0,1,1,0,51,0,0,1,0,0,0,1,1,0,0
147.15,1,1,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,1,1,1
40.2,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
2633.3,0,0,0,0,1,0,0,1,1,32,0,1,0,1,1,1,0,1,1,0
193.05,1,0,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,1,0,0
4103.9,0,0,1,0,1,0,1,1,1,67,1,1,0,0,0,1,0,0,1,0
7008.15,0,1,0,0,0,0,0,1,1,61,1,0,0,1,1,1,1,1,1,0
5791.1,0,1,0,0,0,0,0,1,1,50,0,0,0,1,1,1,1,1,0,0
80.55,1,0,0,1,1,0,1,0,0,2,0,1,1,0,1,0,0,1,0,1
1228.65,1,0,1,1,0,1,1,0,1,29,0,1,0,0,0,0,1,0,0,0
132.2,1,0,1,1,1,1,1,0,1,3,0,1,0,0,0,0,0,0,0,1
1364.3,1,1,1,1,1,1,1,1,1,13,0,0,0,0,0,0,0,1,0,1
4925.35,1,1,1,1,1,1,1,0,1,57,0,0,0,0,0,0,0,1,0,0
1520.1,0,0,0,0,0,0,1,0,1,31,1,1,0,0,0,1,1,0,0,0
5032.25,0,1,0,0,0,0,0,1,1,45,0,0,0,1,0,1,1,1,0,0
5526.75,0,0,0,0,0,0,0,1,1,61,1,1,0,1,0,1,1,1,1,0
1195.25,0,0,0,0,0,0,0,0,0,50,1,0,0,1,0,0,0,1,0,0
2007.25,1,1,0,0,0,1,1,1,1,19,0,0,1,0,0,1,1,1,0,0
1099.6,0,0,0,0,0,0,0,0,0,59,1,0,1,1,0,0,0,1,0,1
1732.95,0,0,0,0,0,0,1,0,0,71,1,0,0,0,1,0,0,1,0,0
1511.2,1,1,1,0,1,1,1,1,1,16,0,0,1,0,0,1,0,1,0,1
3450.15,0,0,1,0,0,0,1,0,0,57,1,1,1,0,0,1,1,1,0,0
24.8,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
2172.05,1,1,1,0,1,1,0,1,1,20,0,0,0,1,0,1,0,1,0,0
70.6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
401.1,1,1,1,0,1,0,1,0,0,5,0,0,0,0,0,1,0,1,0,1
5624.85,1,1,1,1,1,0,1,1,1,52,0,0,0,0,0,0,0,1,0,1
1339.8,1,0,0,1,0,1,1,0,1,21,0,1,1,0,0,0,1,1,0,0
771.95,1,0,1,0,1,0,1,1,1,14,0,1,0,0,0,1,0,0,0,0
244.75,1,0,0,1,1,0,0,0,0,5,0,1,1,1,0,0,0,1,0,0
322.9,1,0,0,1,0,0,0,0,0,6,0,1,1,1,0,0,1,1,0,0
498.25,1,0,1,1,1,0,0,0,0,10,0,1,1,1,0,0,0,1,0,0
25.4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
3687.75,1,0,0,1,0,0,0,0,0,68,0,1,0,1,0,0,1,1,0,0
1779.95,1,1,0,1,1,0,0,1,1,18,0,0,1,1,0,0,0,1,1,1
1783.6,0,1,0,1,1,0,1,0,0,22,0,0,0,0,1,0,0,1,0,0
927.15,1,0,1,1,1,0,1,0,0,20,0,1,1,0,0,0,0,1,0,0
70.0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
606.55,1,1,1,1,1,1,1,0,0,8,0,0,1,0,0,0,0,1,0,1
435.4,1,0,0,1,1,0,1,0,0,10,0,1,1,0,1,0,0,1,0,1
1712.7,1,1,1,1,1,1,1,0,0,24,0,0,0,0,0,0,0,1,0,1
2021.2,0,0,0,1,0,0,0,0,0,35,0,1,1,1,0,0,1,1,0,0
1940.8,0,1,0,0,1,0,0,0,0,23,0,0,1,1,0,1,0,1,1,0
567.8,1,1,1,1,1,1,1,1,1,6,0,0,1,0,0,0,0,1,0,0
220.35,1,0,0,0,0,0,0,0,0,12,0,0,1,1,0,0,0,1,0,0
20.25,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
5436.45,0,1,1,1,1,0,0,0,0,71,1,0,1,1,0,0,0,1,1,0
3437.5,1,1,1,1,1,1,1,1,1,35,0,0,0,0,0,0,0,1,0,0
3015.75,1,0,1,1,1,0,1,1,1,40,0,1,0,0,0,0,0,1,1,0
73.6,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1
1509.8,0,0,0,1,1,0,1,1,1,23,0,1,1,0,0,0,0,1,0,0
396.1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,1,0,1
356.65,1,1,1,0,1,0,1,0,1,4,0,0,1,0,0,1,0,1,0,0
4109.0,0,0,0,0,1,0,0,1,1,68,1,1,0,1,1,1,0,0,1,0
